#I, J,  Distance,  diameter
3214,3631,7.9144,2.2761
1,6,17.87,3.9116
1791,4673,12.448,2.218
30,158,14.607,3.7795
3528,6616,12.061,1.5803
1740,5429,14.87,2.2753
309,2214,13.817,2.0901
603,4117,12.695,2.8695
3012,5418,9.5976,1.2934
8344,9652,4.0524,1.1611
8344,8623,5.9613,1.1204
726,3783,19.17,2.3155
6527,8217,6.3755,1.1981
5891,7537,11.29,1.5802
5344,5891,11.451,1.6699
6562,7818,8.6354,1.9595
2493,6736,7.4527,1.6919
411,7818,13.797,1.4069
4829,7818,7.8462,1.31
4481,5525,13.782,1.8225
1304,7073,13.743,1.6843
133,5053,10.991,2.1878
4652,7371,9.7041,1.3019
6245,7749,6.4286,1.4813
1829,3551,9.2667,1.2582
4951,7069,7.5227,1.1268
7042,7069,8.6212,1.916
361,4617,10.496,1.6228
5357,7509,13.36,1.7736
6094,6372,6.0644,1.481
4141,6817,11.064,1.9511
4000,4114,12.536,2.1711
6141,7074,9.2907,1.834
7074,7319,13.478,1.2087
1951,7448,15.571,1.2885
4044,9130,7.152,1.4219
589,729,12.736,3.0015
1708,8675,7.9649,1.6535
3528,4653,17.226,1.4406
3528,3779,8.0576,2.8547
1740,7934,17.049,1.6436
4770,7066,6.7016,1.7436
603,757,13.569,2.7046
6193,9408,8.9994,0.87734
8169,8344,10.738,1.2036
4829,7119,8.2976,1.5691
1662,2913,10.054,1.8761
4655,7959,7.0241,1.8751
2578,4053,10.826,2.0857
1892,5168,14.7,1.5927
5053,5168,6.4221,1.9498
610,7978,7.8443,1.7479
7371,9174,8.8944,1.0803
1304,4557,8.5407,2.1829
2531,2830,12.499,1.6753
851,7832,13.827,2.0741
2824,7069,10.322,1.3161
1292,2149,16.869,2.0841
1807,5419,7.7074,1.6628
7190,7429,9.7408,1.676
4141,4423,10.425,1.9326
390,2023,7.7127,2.9052
3640,5391,6.9141,2.3397
3640,3831,10.747,2.1222
2992,3831,12.624,1.6953
2741,4579,11.948,1.5678
434,756,19.319,1.9992
7790,8220,6.8183,1.5179
309,1087,14.322,1.8338
7934,8675,12.307,1.3848
4653,4770,7.6723,1.6957
309,1048,16.603,2.0443
603,4096,16.578,1.3629
6492,9373,9.9475,1.289
87,2840,11.013,1.8017
9480,9573,3.3761,1.0673
8169,9573,6.3004,0.87576
4403,6110,8.1838,2.3615
5671,5891,11.533,1.5803
2658,5671,7.5327,1.6403
5636,8328,6.0127,1.0679
4927,5710,10.54,1.7926
8023,9174,5.7005,1.3265
4652,8023,8.5137,1.9348
874,4652,21.378,1.0841
4425,8963,10.706,1.2078
4304,4557,6.1257,2.5822
2830,4907,14.307,2.056
2830,6826,13.334,1.6365
1576,6455,5.5456,1.8904
7208,8411,10.788,1.62
340,2800,11.976,2.6577
5409,7042,6.7087,1.9618
249,1407,8.0803,3.1616
5163,7628,7.5753,2.0692
6439,7509,9.4176,1.4162
4423,6115,6.427,2.1946
5582,7509,8.6847,1.425
5582,7429,8.3191,2.051
2691,5159,7.8148,1.6932
815,4302,9.2254,2.3093
934,3554,14.033,1.7952
6141,6821,11.27,1.8132
4116,6141,9.5052,2.0497
927,1087,8.9627,1.6335
912,1210,7.7748,2.338
129,537,9.0947,3.1642
579,970,11.071,2.286
840,4753,15.364,1.5705
6492,8169,13.237,1.0727
5891,7913,7.7156,1.3239
4612,8328,5.3342,1.2784
819,2578,9.3858,1.6104
4437,7749,9.9874,1.2451
133,2083,22.527,2.3398
4495,8963,9.5782,1.2387
1549,4235,9.4918,2.2445
2083,4838,7.7576,2.5371
329,8559,16.389,1.7324
621,5722,12.418,1.5703
361,2800,13.847,1.6559
4330,4664,6.1285,2.1568
1004,6372,16.617,1.88
1921,4141,8.835,1.605
934,3443,8.4504,2.4878
997,3443,13.929,2.0201
6045,6817,9.192,1.8832
5384,9261,6.4937,1.5776
2992,8540,12.108,1.5998
4044,6217,9.4638,1.943
1951,8695,11.203,1.7928
4673,7526,7.9355,1.4424
7790,8675,5.1283,1.128
3779,4653,13.591,1.2282
178,1210,10.778,2.3186
8053,9428,6.7307,1.0226
129,158,9.0185,3.8512
30,5429,13.295,0.27092
223,537,8.6686,2.5868
669,875,13.59,1.8288
4694,6193,13.846,1.5944
223,1748,10.024,1.8782
4285,5418,12.918,1.4319
8169,9373,7.4816,1.343
8623,9652,2.8416,1.138
3469,4161,5.8768,2.2622
4481,4927,10.35,1.5859
1751,4481,13.545,1.7378
3747,7978,8.9307,1.7426
2653,7061,9.3275,2.2022
2653,4631,7.8961,2.0146
4737,5323,10.483,1.7019
4581,4907,8.4597,1.1475
1576,2824,9.6224,2.4522
1576,4951,12.886,1.1166
2928,5430,9.634,1.6797
4728,6415,8.4202,1.7669
390,1667,14.355,2.1647
2741,6045,9.2295,1.8118
2692,8540,12.329,1.235
6,15,18.424,3.0293
1,15,22.663,3.8944
3738,8540,8.8816,1.2768
5127,7448,7.05,1.8069
6217,7463,5.7246,1.8173
7448,8695,7.7999,1.6725
1999,7822,12.113,1.74
3779,4770,12.696,2.2178
757,875,11.28,1.737
3932,4694,8.5572,1.918
3932,6145,6.0019,1.6428
2840,7949,8.7225,0.8954
4882,8344,9.5754,1.5611
7213,7553,8.4888,1.7273
8169,9480,2.9244,1.5167
4753,9563,7.6985,1.6168
2945,3155,5.3303,3.0135
1171,5207,14.313,1.5713
1171,8517,11.628,1.9984
2945,4651,11.911,2.1076
5926,7119,11.113,1.9464
2864,7692,11.646,1.6546
7076,7959,9.7103,1.9545
5953,8518,8.2893,1.0673
5062,5323,5.3233,1.7824
819,4173,10.768,1.5655
4495,9445,4.2087,1.5141
1538,2379,10.321,1.9417
1280,1538,9.4414,2.6126
57,2379,9.9128,1.6692
5136,6826,9.0349,1.7576
361,1505,16.82,2.2608
4664,5047,10.896,1.7939
818,1505,10.572,2.3696
1505,2149,11.17,2.0157
2596,4330,8.4579,2.06
5357,5725,10.486,1.693
2061,6439,7.9438,1.3536
1807,5918,12.634,1.4843
4728,6824,9.3688,1.7848
6115,6372,4.7524,1.6444
4423,6372,7.3534,2.1135
3443,5159,10.282,1.3257
2687,3443,7.6852,1.9108
1025,7448,16.106,1.2202
30,1750,13.9,2.3194
4770,5010,7.7635,1.9238
30,1740,17.43,2.5352
970,1139,14.255,1.6097
1139,4902,12.417,1.713
4902,6145,9.27,2.0192
840,1805,8.0331,2.987
2840,6193,14.092,1.2509
