node, diameter, xcor, ycor, zcor, component, path_density, path_diameter, path_radius, shorest_path_length, path_local_efficiency, path_global_efficiency, degree, strength, triangle, clustering, weighted_clustering, knn, weighted_knn, degree_centrality, closeness_centrality, betweenness, weighted_betweenness,eigenvector_centrality, weighted_eigenvector_centrality
119,  11.18900000, 182.01000000, 169.78000000, 193.91000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  10.00000000,  47.33817000,  15.00000000,   0.33333333,   0.16154234,  10.30000000,  10.29332207,   0.00607533,   0.12948395,   0.00771687,   0.01615633,   0.01042628,   0.00072423
120,  11.07400000, 114.18000000, 130.52000000, 175.37000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   8.00000000,  46.35420000,  14.00000000,   0.50000000,   0.25433001,  10.00000000,   9.81663366,   0.00486027,   0.14003743,   0.00134172,   0.00000000,   0.11626497,   0.10997380
121,  11.16300000, 189.71000000,  97.21700000, 103.48000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  14.00000000,  56.08057000,  22.00000000,   0.24175824,   0.09448353,   8.57142857,   8.66691619,   0.00850547,   0.14597375,   0.02257890,   0.02648993,   0.00713102,   0.00012437
122,  11.10300000, 225.24000000, 202.27000000, 102.64000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  11.00000000,  49.54960000,  18.00000000,   0.32727273,   0.13537018,   9.27272727,   9.32918126,   0.00668287,   0.11617730,   0.01141820,   0.00793671,   0.00055084,   0.00000570
123,  11.10900000,  28.89500000, 181.62000000,  23.89900000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  12.00000000,  53.66566000,  23.00000000,   0.34848485,   0.14446650,   9.91666667,  10.35403683,   0.00729040,   0.11475981,   0.00655378,   0.00278690,   0.00054351,   0.00000147
124,  10.90800000,   8.05660000, 171.54000000,  24.76000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  10.00000000,  41.93265000,  18.00000000,   0.40000000,   0.16139433,  10.00000000,   9.98944164,   0.00607533,   0.11254701,   0.00267786,   0.01098878,   0.00047623,   0.00000091
125,  11.02200000, 115.22000000, 212.85000000, 134.08000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   9.00000000,  53.48850000,  15.00000000,   0.41666667,   0.21004808,   9.88888889,   9.51061069,   0.00546780,   0.14767630,   0.01717181,   0.00000000,   0.02110975,   0.00367430
126,  11.13300000,  12.24300000,  66.12800000, 177.31000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  12.00000000,  44.02874000,  18.00000000,   0.27272727,   0.07743224,   7.33333333,   7.03303547,   0.00729040,   0.11969168,   0.01289495,   0.01015486,   0.00214229,   0.00007492
127,  11.08400000,  38.88300000, 120.78000000, 217.79000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  13.00000000,  52.49905000,  20.00000000,   0.25641026,   0.09191783,   7.53846154,   7.47269522,   0.00789793,   0.12043609,   0.01086511,   0.01159595,   0.00973918,   0.00203542
128,  11.00300000, 141.31000000, 205.21000000,  99.16700000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   7.00000000,  35.08820000,   9.00000000,   0.42857143,   0.19424378,   8.28571429,   8.92277461,   0.00425273,   0.13401726,   0.00243310,   0.00014551,   0.00185845,   0.00008811
129,  11.14600000, 182.72000000, 185.76000000, 119.64000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   8.00000000,  41.76440000,  15.00000000,   0.53571429,   0.23862685,   8.87500000,   8.83722740,   0.00486027,   0.12616894,   0.00221560,   0.00008790,   0.00093341,   0.00003124
130,  10.92500000,  14.24600000, 190.03000000,  19.48100000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   8.00000000,  34.27556000,  13.00000000,   0.46428571,   0.20252214,   9.12500000,   9.55610528,   0.00486027,   0.10556696,   0.00134844,   0.00687898,   0.00024321,   0.00000046
131,  11.05600000,  63.72700000,  17.63700000, 142.02000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  10.00000000,  50.41250000,  20.00000000,   0.44444444,   0.20106427,  10.40000000,  10.12511381,   0.00607533,   0.12691804,   0.00200248,   0.00018171,   0.00467311,   0.00012041
132,  10.94100000, 124.40000000,  32.70500000, 225.78000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   9.00000000,  38.04807000,   7.00000000,   0.19444444,   0.07873000,   6.66666667,   6.28694938,   0.00546780,   0.11922353,   0.00680522,   0.01003150,   0.00139183,   0.00007442
